,0
0,hang
1,seems
2,pop
3,omit
4,drive
5,shut
6,scold
7,shock
8,leap
9,blow
10,erase
11,pull
12,sweep
13,waive
14,obey
15,seeks
16,reuse
17,wrung
18,gave
19,sold
20,erode
21,stung
22,cede
23,shone
24,pave
25,poke
26,lose
27,snuck
28,prays
29,typed
30,suck
31,decay
32,seize
33,slung
34,dwelt
35,hover
36,spend
37,joked
38,named
39,know
40,fared
41,stirs
42,sped
43,beset
44,abide
45,ached
46,beg
47,bled
48,amuse
49,arise
50,evoke
51,sew
52,hurts
53,cater
54,refer
55,fills
56,lacks
57,clung
58,whisk
59,sever
60,smelt
61,sank
62,lured
63,liked
64,paled
65,heed
66,wakes
67,mend
69,taxed
70,pays
72,wield
73,owed
74,cured
75,dared
76,binds
77,waved
78,shuts
79,ceded
80,vowed
82,sewed
84,widen
85,wed
87,cope
88,earn
89,fined
90,dares
91,owe
92,pose
93,sown
94,crept
95,stir
96,rowed
98,solve
99,weep
100,cling
101,erupt
102,wanna
103,shown
105,oozed
106,undid
107,wired
108,tamed
109,poked
110,fend
111,spent
113,soar
114,waxed
116,fails
117,snaps
118,ensue
119,relax
120,owes
121,savor
122,wears
123,greet
124,saved
125,loved
126,warns
127,cried
128,infer
129,stood
130,rang
131,mated
132,defer
133,lent
134,bleed
135,swore
136,flew
137,hoped
138,leant
139,plead
140,freed
141,shook
142,begun
143,spoke
144,waged
145,swept
146,deter
147,deems
148,evade
149,hiked
150,wove
151,must
152,undo
153,recur
154,wrote
155,incur
156,lied
157,froze
158,obeys
159,embed
160,lasts
161,budge
163,awoke
164,hear
165,imply
166,shed
168,equip
169,learn
170,bore
171,pluck
172,sang
173,bathe
174,posit
175,sat
176,occur
177,pry
178,fades
