,index,condition,w1,w2,subtype,w1_type,w2_type,invertible,Unnamed: 0
0,0,phrase,light,bulb,odd,word,word,True,
1,1,phrase,wild,doll,odd,word,word,True,1.0
2,2,phrase,ill,drum,odd,word,word,True,2.0
3,3,phrase,bad,moon,odd,word,word,True,3.0
4,4,phrase,get,help,odd,word,word,True,
5,5,phrase,sure,leaf,odd,word,word,True,5.0
6,6,phrase,own,son,odd,word,word,True,
7,7,phrase,gas,phase,odd,word,word,True,
8,8,phrase,child,care,odd,word,word,True,
9,9,phrase,bare,wine,odd,word,word,True,9.0
10,10,phrase,brown,sugar,odd,word,word,True,
11,11,phrase,fresh,fruit,odd,word,word,True,
12,12,phrase,dear,ant,odd,word,word,True,12.0
13,13,phrase,work,ethic,odd,word,word,True,
14,14,phrase,lazy,fate,odd,word,word,True,14.0
15,15,phrase,easy,ball,odd,word,word,True,15.0
16,16,phrase,busy,meat,odd,word,word,True,16.0
17,17,phrase,fair,army,odd,word,word,True,17.0
18,18,phrase,video,games,odd,word,word,True,
19,19,phrase,cosy,baby,odd,word,word,True,19.0
20,20,phrase,human,needs,odd,word,word,True,
21,21,phrase,our,wall,odd,word,word,True,21.0
22,22,phrase,point,where,odd,word,word,True,
23,23,phrase,take,risks,odd,word,word,True,23.0
24,24,phrase,slim,wing,odd,word,word,True,24.0
25,25,phrase,comic,books,odd,word,word,True,
26,26,phrase,cool,aunt,odd,word,word,True,26.0
27,27,phrase,iffy,pond,odd,word,word,True,27.0
28,28,phrase,teal,king,odd,word,word,True,28.0
29,29,phrase,pink,fog,odd,word,word,True,29.0
30,30,phrase,slow,oak,odd,word,word,True,30.0
31,31,phrase,full,egg,odd,word,word,True,31.0
32,32,phrase,rosy,sofa,odd,word,word,True,32.0
33,33,phrase,mere,boss,odd,word,word,True,33.0
34,34,phrase,tidy,soul,odd,word,word,True,34.0
35,35,phrase,half,dozen,odd,word,word,True,
36,36,phrase,huge,tub,odd,word,word,True,36.0
37,37,phrase,sly,womb,odd,word,word,True,37.0
38,38,phrase,gray,fin,odd,word,word,True,38.0
39,39,phrase,icy,sock,odd,word,word,True,39.0
40,40,phrase,weak,pen,odd,word,word,True,40.0
41,41,phrase,loose,ends,odd,word,word,True,
42,42,phrase,rich,gum,odd,word,word,True,42.0
43,43,phrase,sad,clue,odd,word,word,True,43.0
44,44,phrase,pale,bud,odd,word,word,True,44.0
45,45,phrase,ripe,pint,odd,word,word,True,45.0
46,46,phrase,back,pain,odd,word,word,True,
47,47,phrase,wet,pill,odd,word,word,True,47.0
48,48,phrase,mad,luck,odd,word,word,True,48.0
49,49,phrase,hot,road,odd,word,word,True,49.0
50,50,phrase,whole,truth,odd,word,word,True,
51,51,phrase,holy,rice,odd,word,word,True,51.0
52,52,phrase,vast,bay,odd,word,word,True,52.0
53,53,phrase,neat,area,odd,word,word,True,53.0
54,54,phrase,trade,mark,odd,word,word,True,
55,55,phrase,firm,mug,odd,word,word,True,55.0
56,56,phrase,all,means,odd,word,word,True,
57,57,phrase,same,chin,odd,word,word,True,57.0
58,58,phrase,after,lunch,odd,word,word,True,
59,59,phrase,solid,waste,odd,word,word,True,
