w1,w2
able,abide
able,ached
able,aches
able,acted
able,adapt
able,adds
able,admit
able,adopt
able,adore
able,adorn
able,agree
able,aimed
able,aired
able,align
able,allow
able,amend
able,amuse
able,annoy
able,apply
able,argue
able,arise
able,arose
able,asked
able,asks
able,ate
able,avert
able,avoid
able,await
able,awed
able,awoke
able,bade
able,bared
able,bathe
able,beg
able,began
able,begin
able,begs
able,begun
able,beset
able,binds
able,bled
able,bleed
able,bless
able,blew
able,bore
able,bowed
able,boxed
able,brag
able,bring
able,broke
able,budge
able,buys
able,came
able,cared
able,carve
able,cater
able,ceded
able,cheat
able,chew
able,choke
able,chose
able,cite
able,cited
able,cites
able,clap
able,cling
able,clung
able,coax
able,coded
able,comes
able,cools
able,cope
able,could
able,crave
able,crept
able,cried
able,cured
able,dared
able,dares
able,dealt
able,deem
able,deems
able,defer
able,defy
able,delve
able,deny
able,deter
able,diced
able,didn
able,didst
able,died
able,dined
able,dived
able,doin
able,doing
able,done
able,dost
able,doth
able,dozed
able,drags
able,drank
able,draws
able,drove
able,drown
able,dug
able,dunno
able,dwelt
able,dyed
able,earn
able,earns
able,eased
able,eaten
able,eats
able,elude
able,embed
able,emit
able,emits
able,enact
able,enjoy
able,ensue
able,enter
able,equip
able,erase
able,ere
able,erode
able,err
able,erred
able,erupt
able,evade
able,evoke
able,exert
able,exist
able,expel
able,faded
able,fades
able,fail
able,fails
able,fain
able,faked
able,fared
able,feeds
able,feels
able,fell
able,felt
able,fend
able,fetch
able,filed
able,fills
able,find
able,fined
able,fled
able,flee
able,flew
able,flirt
able,flown
able,forgo
able,freed
able,frees
able,fret
able,froze
able,fused
able,gaped
able,gave
able,gazed
able,gets
able,git
able,gives
able,glean
able,glued
able,goes
able,goin
able,gone
able,grabs
able,graze
able,greet
able,grew
able,grind
able,grow
able,grows
able,hangs
able,hated
able,hates
able,haue
able,haunt
able,heal
able,hear
able,hears
able,heave
able,heed
able,helps
able,hid
able,hiked
able,holed
able,honed
able,hoped
able,hover
able,hurl
able,hurts
able,imply
able,incur
able,infer
able,ing
able,join
able,joins
able,joked
able,keeps
able,kept
able,keyed
able,kneel
able,knelt
able,knew
able,knows
able,laced
able,lacks
able,lain
able,lasts
able,lays
able,leans
able,leant
able,learn
able,lend
able,lends
able,lent
able,lets
able,lied
able,liked
able,looms
