,w1_len,w2_len,w1_type,w2_type,w1,w2,cand0,cand1,cand2,cand3,cand4,cand5,cand6,cand7,subtype
0,3,4,noun,cons,,kvzk,say,hem,exp,nut,mit,mel,mon,ivy,even
1,3,4,noun,cons,,mksj,fur,tin,doc,net,ted,jet,nod,edn,even
2,3,4,noun,cons,,bkvj,fat,pop,toe,toy,bid,ron,cal,tel,even
3,3,4,noun,cons,,mvhk,pam,saw,vii,rum,gil,sen,fri,vow,even
4,3,4,noun,cons,,fkxj,our,mum,rod,two,jay,app,low,gut,even
5,3,4,noun,cons,,jkzm,lid,arc,rob,pat,gen,bin,jew,cab,even
6,3,4,cons,noun,qvx,,greg,fury,cart,aims,nuts,fair,ribs,seal,even
7,3,4,cons,noun,hkj,,cost,loss,text,plan,test,fire,half,week,even
8,3,4,cons,noun,mkq,,skin,step,paul,rest,look,king,news,arms,even
9,3,4,cons,noun,tjp,,rays,hint,dean,biol,cape,gray,beds,tips,even
10,3,4,cons,noun,fkv,,june,date,site,rule,ones,heat,flow,past,even
11,3,4,cons,noun,sjm,,mike,jean,anna,dust,rose,walk,harm,crew,even
12,4,3,noun,cons,,zjv,cody,logo,cube,vera,gina,n.d.,pulp,iris,even
13,4,3,noun,cons,,jvw,deer,dear,cuba,next,urge,vols,rick,game,even
14,4,3,noun,cons,,qks,bank,seat,deal,play,will,user,ship,none,even
15,4,3,noun,cons,,sjk,pace,wire,this,iraq,long,matt,hold,fund,even
16,4,3,noun,cons,,fkz,born,made,vest,tian,fill,sure,buds,wits,even
17,4,3,noun,cons,,tjz,taxi,poor,nest,math,cage,fuck,mill,twin,even
18,4,3,cons,noun,pvkk,,lab,con,pit,tab,mac,roy,tie,sub,even
19,4,3,cons,noun,jvbk,,hug,pie,ken,cop,ups,cir,jar,wit,even
20,4,3,cons,noun,zjmv,,eye,may,art,arm,boy,top,bit,fig,even
21,4,3,cons,noun,zmqk,,lou,ofa,mao,kit,del,rim,meg,esp,even
22,4,3,cons,noun,mktj,,not,hut,fax,par,eva,sip,pin,gym,even
23,4,3,cons,noun,jkwj,,sky,san,ice,tom,bag,eds,key,gun,even
24,4,4,noun,cons,,zjqv,mary,city,base,turn,film,lack,laws,mrs.,even
25,4,4,noun,cons,,tjkk,york,days,name,fact,side,face,room,home,even
26,4,4,noun,cons,,kkqv,spin,bike,meta,exam,wish,pass,andy,flux,even
27,4,4,noun,cons,,hkmv,keys,grip,wage,rev.,yard,vote,bars,lucy,even
28,4,4,noun,cons,,kkvj,apex,howe,glue,abel,dunn,bang,katz,mole,even
29,4,4,noun,cons,,kvjk,slab,fore,rods,leap,boyd,roth,erik,oaks,even
30,4,4,noun,cons,,fkmv,self,type,care,ways,rate,view,risk,feet,even
31,4,4,noun,cons,,xkqv,tory,afro,melt,maud,dell,turk,claw,cons,even
32,4,4,noun,cons,,zmjv,zinc,down,bolt,fine,sack,josé,lang,hank,even
33,4,4,noun,cons,,jvgk,boys,jack,race,call,miss,hope,cent,kids,even
34,4,4,noun,cons,,tkwj,cash,boat,band,wood,park,spot,asia,jews,even
35,4,4,noun,cons,,wjgk,eyre,pont,alms,kaye,aden,guam,scot,silt,even
36,4,4,noun,cons,,qvtj,land,lord,need,back,size,pain,list,time,even
37,4,4,noun,cons,,hkzj,slit,joys,hail,font,deng,thud,comp,gran,even
38,4,4,noun,cons,,mvxj,lots,guns,ages,plot,nick,seed,stop,year,even
39,4,4,noun,cons,,pvtk,fink,dios,dvds,ploy,diss,boon,laps,hoop,even
40,4,4,noun,cons,,mkxj,amin,mohr,nano,myra,bohr,fray,kira,erie,even
41,4,4,noun,cons,,gkjv,gaps,wake,prey,tray,hugh,noah,cuts,a.m.,even
42,4,4,cons,noun,hkwj,,anya,gall,vans,caro,annu,trop,gaas,eros,even
43,4,4,cons,noun,xjqk,,homo,cunt,bail,live,rica,mona,inst,huts,even
44,4,4,cons,noun,qkzm,,slip,bite,span,sink,surg,fame,team,saul,even
45,4,4,cons,noun,bksj,,aug.,pork,herd,halt,rack,brad,make,café,even
46,4,4,cons,noun,xkvj,,salt,jobs,card,hall,gift,host,shop,rain,even
47,4,4,cons,noun,mvzm,,data,talk,mine,gene,fall,rome,male,high,even
48,4,4,cons,noun,zkxj,,ears,holy,load,guys,adam,move,hill,root,even
49,4,4,cons,noun,jksj,,rory,tort,leak,pine,curb,buzz,pony,wife,even
50,4,4,cons,noun,vkzj,,acts,snow,mail,dose,farm,link,fuel,copy,even
51,4,4,cons,noun,kkwj,,grin,ease,tale,hips,tank,cups,palm,sigh,even
52,4,4,cons,noun,wjqk,,sins,fort,flag,open,cord,crop,lens,ruth,even
53,4,4,cons,noun,xkwj,,bulk,mate,rush,kant,trap,marx,vein,rats,even
54,4,4,cons,noun,qvzk,,term,zhao,toll,judy,coup,dale,acad,lamb,even
55,4,4,cons,noun,pvsj,,folk,fans,mask,ions,cell,feed,dawn,joke,even
56,4,4,cons,noun,xkzj,,mama,bomb,rail,main,earl,josh,proc,yale,even
57,4,4,cons,noun,xjbk,,then,noon,arab,nazi,joan,pete,tide,owen,even
58,4,4,cons,noun,xjgk,,life,clay,lift,oath,lawn,stat,hart,reed,even
59,4,4,cons,noun,gkpv,,cara,baba,cuff,colt,rite,cora,kara,reef,even
60,3,4,noun,cons,,kvzk,sir,st.,dog,guy,bar,cup,dr.,see,odd
61,3,4,noun,cons,,mksj,wbt,soy,ore,hal,pro,seq,bet,ned,odd
62,3,4,noun,cons,,bkvj,bea,tai,now,hua,gal,wan,bun,mai,odd
63,3,4,noun,cons,,mvhk,red,sum,era,run,ben,joe,joy,gap,odd
64,3,4,noun,cons,,fkxj,pad,rio,fly,nat,sec,dis,sue,rev,odd
65,3,4,noun,cons,,jkzm,lad,tag,jon,pig,les,pub,hit,han,odd
66,3,4,cons,noun,qvx,,falk,rom.,spam,oxon,sick,ைபபி,nook,gist,odd
67,3,4,cons,noun,hkj,,fred,mean,role,dave,brow,pity,unit,pump,odd
68,3,4,cons,noun,mkq,,jess,lynn,duct,kick,soda,levi,hume,feb.,odd
69,3,4,cons,noun,tjp,,line,idea,love,mind,john,form,food,book,odd
70,3,4,cons,noun,fkv,,phil,void,gown,rape,rear,wolf,stay,hans,odd
71,3,4,cons,noun,sjm,,gods,tube,anne,good,ends,word,diet,kiss,odd
72,4,3,noun,cons,,zjv,toil,cork,nutr,kang,luna,mmol,helm,loft,odd
73,4,3,noun,cons,,jvw,anus,stud,ware,ever,pius,slum,meet,bern,odd
74,4,3,noun,cons,,qks,feng,toby,gabe,mann,i.e.,hats,jung,sums,odd
75,4,3,noun,cons,,sjk,fear,july,sort,task,mass,help,west,lips,odd
76,4,3,noun,cons,,fkz,chap,zero,wash,tens,shah,nora,most,bees,odd
77,4,3,noun,cons,,tjz,menu,knee,deck,tour,chen,evil,eds.,fees,odd
78,4,3,cons,noun,pvkk,,mom,row,bus,jim,van,hat,max,mrs,odd
79,4,3,cons,noun,jvbk,,bay,sci,pay,ass,cut,res,big,dan,odd
80,4,3,cons,noun,zjmv,,ky.,거룩한,dcs,meq,tad,mis,ole,เรา,odd
81,4,3,cons,noun,zmqk,,psi,hog,pcs,qos,fei,asv,dio,odd,odd
82,4,3,cons,noun,mktj,,jun,zoe,dec,fed,ave,eur,pet,des,odd
83,4,3,cons,noun,jkwj,,iii,out,von,los,min,kim,bob,tip,odd
84,4,4,noun,cons,,zjqv,lead,star,alex,lake,gain,eggs,axis,sand,odd
85,4,4,noun,cons,,tjkk,east,drug,mark,note,goal,legs,code,wind,odd
86,4,4,noun,cons,,kkqv,kurt,chef,tina,cruz,webb,alec,hull,apps,odd
87,4,4,noun,cons,,hkmv,dick,tons,moon,ltd.,cast,yang,gary,lane,odd
88,4,4,noun,cons,,kkvj,thin,roof,del.,huck,hogs,tio2,graf,loeb,odd
89,4,4,noun,cons,,kvjk,pars,mobs,piss,leds,warp,rong,abba,uber,odd
90,4,4,noun,cons,,fkmv,blum,weld,sire,sill,slag,econ,remy,grab,odd
91,4,4,noun,cons,,xkqv,chem,shit,tony,emma,hero,mess,maps,ride,odd
92,4,4,noun,cons,,zmjv,gale,eddy,watt,skye,hare,halo,alia,ovid,odd
93,4,4,noun,cons,,jvgk,body,blue,silk,cave,wall,ohio,rows,corn,odd
94,4,4,noun,cons,,tkwj,ally,utah,foam,best,flap,ella,rich,evan,odd
95,4,4,noun,cons,,wjgk,peak,poet,page,vice,jake,bias,duke,iran,odd
96,4,4,noun,cons,,qvtj,free,ryan,coal,rank,belt,eric,cock,port,odd
97,4,4,noun,cons,,hkzj,gust,guru,lund,elle,howl,mats,boer,crib,odd
98,4,4,noun,cons,,mvxj,pipe,wars,jury,mice,ford,aunt,ties,blow,odd
99,4,4,noun,cons,,pvtk,lady,tool,show,rock,mode,wave,gaze,hell,odd
100,4,4,noun,cons,,mkxj,deep,ming,hard,over,plug,dive,mint,maze,odd
101,4,4,noun,cons,,gkjv,beam,kate,loan,arts,wang,drop,loop,well,odd
102,4,4,cons,noun,hkwj,,fish,luke,file,core,ibid,duty,acid,soil,odd
103,4,4,cons,noun,xjqk,,uses,cold,mile,navy,rage,bell,pile,ross,odd
104,4,4,cons,noun,qkzm,,rise,bill,song,nose,trip,debt,fig.,iron,odd
105,4,4,cons,noun,bksj,,road,suit,node,item,tail,mood,shot,sake,odd
106,4,4,cons,noun,xkvj,,tone,gold,pair,bone,army,inc.,camp,milk,odd
107,4,4,cons,noun,mvzm,,jane,meal,club,pool,cars,coat,left,bond,odd
108,4,4,cons,noun,zkxj,,bede,yves,frye,balm,gaia,lair,prov,rump,odd
109,4,4,cons,noun,jksj,,bush,clin,bits,para,area,inch,grid,kong,odd
110,4,4,cons,noun,vkzj,,norm,lisa,bear,gulf,dish,pope,jail,cook,odd
111,4,4,cons,noun,kkwj,,hole,gate,sale,dogs,sets,post,sons,hong,odd
112,4,4,cons,noun,wjqk,,dirt,bags,rope,stem,cake,alan,fool,tape,odd
113,4,4,cons,noun,xkwj,,lily,cole,lock,gang,karl,fist,glow,beth,odd
114,4,4,cons,noun,qvzk,,dec.,bull,kent,hook,khan,shaw,golf,real,odd
