w1,w2
able,abide
acrid,ached
acute,beg
adept,bled
banal,amuse
bogus,arise
vain,evoke
cruel,sew
viral,hurts
newer,cater
deaf,refer
rabid,fills
oral,lacks
khaki,clung
rainy,whisk
needy,sever
vital,smelt
lunar,sank
gilt,lured
scant,liked
rusty,paled
lucky,heed
tawny,wakes
steep,mend
scary,stirs
feral,taxed
bushy,pays
surly,beset
nodal,wield
coy,owed
pent,cured
semi,dared
humid,binds
outer,waved
inert,shuts
giddy,ceded
numb,vowed
shiny,prays
sunny,sewed
foggy,obey
edgy,widen
cubic,wed
limp,fared
obese,cope
soggy,earn
puffy,fined
tidal,dares
savvy,owe
plush,pose
dizzy,sown
chic,crept
fated,stir
dim,rowed
fuzzy,hover
false,solve
smug,weep
tacit,cling
optic,erupt
manic,wanna
modal,shown
messy,slung
laden,oozed
cozy,undid
nasal,wired
hind,tamed
fewer,poked
eager,fend
gaunt,spent
prone,omit
lanky,soar
smoky,waxed
utter,seeks
stiff,fails
squat,snaps
silky,ensue
wiry,relax
loyal,owes
windy,savor
vivid,wears
nasty,greet
handy,saved
glad,loved
overt,warns
stale,cried
gated,infer
murky,stood
livid,rang
gruff,mated
lofty,defer
hairy,lent
hefty,bleed
manly,swore
moist,flew
iced,hoped
truer,leant
tier,plead
proud,freed
muddy,shook
cocky,begun
gaudy,spoke
lowly,waged
muted,swept
loath,deter
pious,deems
dingy,evade
shady,hiked
folic,wove
exact,must
sober,undo
naked,recur
stony,wrote
lousy,incur
wiser,lied
papal,froze
unfit,obeys
hasty,embed
grimy,lasts
ugly,budge
fussy,erode
usual,awoke
nosed,hear
dire,imply
safer,shed
tough,named
fatal,equip
tonal,learn
risky,bore
phony,pluck
rigid,sang
rife,bathe
inept,posit
dandy,sat
leafy,occur
naive,pry
rough,fades
